"","X","Doc.ID","Filer.Name","Member.Name","State","District","Year","Destination","Filing.Type","Departure.Date","Return.Date","Travel.Sponsor","return_month","departure_month","destination_country","destination_city"
"2244",2244,500009330,"Margaret McCarthy","Waxman, Henry A.","CA",33,2013,"Cambridge, MD","Original","2013-04-19","2013-04-20","Telecommunications Industry Association (TIA)",4,4,"USA","Cambridge"
"2245",2245,500009332,"Kyle Oliver","Hall, Ralph M.","TX",4,2013,"Augusta, GA","Original","2013-04-21","2013-04-22","Foundation for Nuclear Studies",4,4,"USA","Augusta"
"2246",2246,500009332,"Kyle Oliver","Hall, Ralph M.","TX",4,2013,"Waynesboro, GA","Original","2013-04-21","2013-04-22","Foundation for Nuclear Studies",4,4,"USA","Waynesboro"
"2247",2247,500009333,"Lorissa Bounds","Salmon, Matt","AZ",5,2013,"New York, NY","Original","2013-04-21","2013-04-22","The Humpty Dumpty Institute and the UN Foundation",4,4,"USA","New York"
"2248",2248,500009334,"Brian Alesi","Rohrabacher, Dana","CA",48,2013,"New York, NY","Original","2013-04-21","2013-04-22","The Humpty Dumpty Institute",4,4,"USA","New York"
"2249",2249,500009335,"Julie Tagen","Grayson, Alan","FL",9,2013,"New York, NY","Original","2013-04-21","2013-04-22","Humpty Dumpty Institute",4,4,"USA","New York"
"2250",2250,500009336,"Marliss McManus","Huizenga, Bill","MI",2,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2251",2251,500009337,"Chris Fisher","Murphy, Patrick J.","PA",8,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2252",2252,500009338,"Natalee Binkholder","Mulvaney, Mick","SC",5,2013,"Augusta, GA","Original","2013-04-21","2013-04-22","Foundation for Nuclear Studies",4,4,"USA","Augusta"
"2253",2253,500009338,"Natalee Binkholder","Mulvaney, Mick","SC",5,2013,"Waynesboro, GA","Original","2013-04-21","2013-04-22","Foundation for Nuclear Studies",4,4,"USA","Waynesboro"
"2254",2254,500009339,"Natalee Binkholder","Mulvaney, Mick","SC",5,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2255",2255,500009340,"Noah Marine","Perlmutter, Ed","CO",7,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2256",2256,500009341,"Annie Caputo","Upton, Fred","MI",6,2013,"Waynesboro, GA","Original","2013-04-21","2013-04-22","Foundation for Nuclear Studies",4,4,"USA","Waynesboro"
"2257",2257,500009347,"Bryan Blom","Duffy, Sean","WI",7,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2258",2258,500009348,"Adam Elias","Foster, Bill","IL",11,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2259",2259,500009349,"Lucille Muffy Day","Campbell, John","CA",45,2013,"New York, NY","Original","2013-04-21","2013-04-22","The Humpty Dumpty Institute (HDI)",4,4,"USA","New York"
"2260",2260,500009350,"Reid Fritz","Royce, Edward","CA",39,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2261",2261,500009351,"Charles W. Boustany","Boustany, Charles W.","LA",3,2013,"Vancouver, Canada","Original","2013-04-02","2013-04-04","The National Bureau of Asian Research",4,4,"CAN","Vancouver"
"2262",2262,500009354,"Jason R. Bell","Bolinger, Andrew","",NA,2013,"Omaha, NB","Original","2013-04-14","2013-04-17","Association of Threat Assessment Professionals (ATAP)",4,4,"USA","Omaha"
"2263",2263,500009355,"Sean M. Downey","Kuster, Ann","NH",2,2013,"Lebanon, NH","Original","2013-04-22","2013-04-23","Dartmouth Hitchcock",4,4,"USA","Lebanon"
"2264",2264,500009356,"Monica Ciolfi","Kuster, Ann","NH",2,2013,"Lebanon, NH","Original","2013-04-22","2013-04-23","Dartmouth Hitchcock",4,4,"USA","Lebanon"
"2265",2265,500009357,"Cole Ginther","Bentivolio, Kerry L.","MI",11,2013,"Taipei, Taiwan","Original","2013-04-25","2013-05-04","Initiatives for China",5,4,"TWN","Taipei"
"2266",2266,500009358,"Kerry Bentivolio","Bentivolio, Kerry L.","MI",11,2013,"Taipei, Taiwan","Original","2013-04-27","2013-05-02","Initiatives for China",5,4,"TWN","Taipei"
"2267",2267,500009359,"Bradley S. Schneider","Schneider, Bradley","IL",10,2013,"Tel Aviv, Israel","Original","2013-04-28","2013-05-03","Jewish United Fund of Metropolitan Chicago",5,4,"ISR","Tel Aviv"
"2268",2268,500009360,"Benjamin Turner","Delaney, John","MD",6,2013,"Williamsburg, VA","Original","2013-04-12","2013-04-14","Third Way",4,4,"USA","Williamsburg"
"2269",2269,500009361,"Jean Fruci","Tonko, Paul","NY",20,2013,"Harwood, MD","Original","2013-05-02","2013-05-02","Incorporated Research Institutions for Seismology",5,5,"USA","Harwood"
"2270",2270,500009365,"Fabrice Coles","Richmond, Cedric","LA",2,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2271",2271,500009366,"David Weinberg","Peters, Gary C.","MI",14,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2272",2272,500009367,"Jennifer Walters","McGovern, James","MA",2,2013,"Garoua, Cameroon","Original","2013-04-26","2013-05-03","United Nations Foundation",5,4,"CMR","Garoua"
"2273",2273,500009367,"Jennifer Walters","McGovern, James","MA",2,2013,"Yaounde, Cameroon","Original","2013-04-26","2013-05-03","United Nations Foundation",5,4,"CMR","Yaounde"
"2274",2274,500009368,"Rachel Kelly","Himes, James","CT",4,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2275",2275,500009369,"Earl Blumenauer","Blumenauer, Earl","OR",3,2013,"Rochester, NY","Original","2013-04-28","2013-04-30","Rochester Regional Community Design Center and Rochester Cycling Alliance",4,4,"USA","Rochester"
"2276",2276,500009370,"Anthony Walden","Royce, Edward","CA",39,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2277",2277,500009371,"Saul Hernandez","Butterfield, G.","NC",1,2013,"Istanbul, Turkey","Original","2013-04-26","2013-05-05","Mid-Atlantic Federation of Turkic Americans Associations",5,4,"TUR","Istanbul"
"2278",2278,500009372,"Charlotte Newman","Kildee, Daniel","MI",5,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2279",2279,500009373,"Sheila Grant","Carney, John C.","DE",0,2013,"Ankara, Turkey","Original","2013-04-26","2013-05-05","Mid-Atlantic Federation of Turkic American Association",5,4,"TUR","Ankara"
"2280",2280,500009373,"Sheila Grant","Carney, John C.","DE",0,2013,"Istanbul, Turkey","Original","2013-04-26","2013-05-05","Mid-Atlantic Federation of Turkic American Association",5,4,"TUR","Istanbul"
"2281",2281,500009373,"Sheila Grant","Carney, John C.","DE",0,2013,"Izmir, Turkey","Original","2013-04-26","2013-05-05","Mid-Atlantic Federation of Turkic American Association",5,4,"TUR","Izmir"
"2282",2282,500009374,"Michele Bachmann","Bachmann, Michele","MN",6,2013,"Nashville, TN","Original","2013-05-01","2013-05-02","Christian Alliance for Orphans",5,5,"USA","Nashville"
"2283",2283,500009375,"Nichole Reynolds","Sewell, Terri","AL",7,2013,"Philadelphia, PA","Original","2013-05-01","2013-05-01","Third Way",5,5,"USA","Philadelphia"
"2284",2284,500009376,"Kara Spencer","McIntyre, Mike","NC",7,2013,"Istanbul, Turkey","Original","2013-04-26","2013-05-05","Mid-Atlantic Federation of Turkic American Associates",5,4,"TUR","Istanbul"
"2285",2285,500009377,"Jirair Ratevosian","Lee, Barbara","CA",13,2013,"Yaounde, Cameroon","Original","2013-04-26","2013-05-03","United Nations Foundation",5,4,"CMR","Yaounde"
"2286",2286,500009379,"Kelly Stone","McCollum, Betty","MN",4,2013,"Yaounde, Cameroon","Original","2013-04-26","2013-05-03","United Nations Foundation",5,4,"CMR","Yaounde"
"2287",2287,500009380,"Carlton Cone","Rogers, Harold","KY",5,2013,"Ankara, Turkey","Original","2013-04-26","2013-05-05","Mid-Atlantic Federation of Turkic Association (MAFTAA)",5,4,"TUR","Ankara"
"2288",2288,500009380,"Carlton Cone","Rogers, Harold","KY",5,2013,"Istanbul, Turkey","Original","2013-04-26","2013-05-05","Mid-Atlantic Federation of Turkic Association (MAFTAA)",5,4,"TUR","Istanbul"
"2289",2289,500009380,"Carlton Cone","Rogers, Harold","KY",5,2013,"Izmir, Turkey","Original","2013-04-26","2013-05-05","Mid-Atlantic Federation of Turkic Association (MAFTAA)",5,4,"TUR","Izmir"
"2290",2290,500009381,"Edward F. McDonald","Coble, Howard","NC",6,2013,"Istanbul, Turkey","Original","2013-04-26","2013-05-05","Mid-Atlantic Federation of Turkic American Associations",5,4,"TUR","Istanbul"
"2291",2291,500009382,"Lliam Morrison","Salmon, Matt","AZ",5,2013,"Yaounde, Cameroon","Original","2013-04-26","2013-05-03","United Nations Foundation",5,4,"CMR","Yaounde"
"2292",2292,500009383,"Alexandra Teitz","Waxman, Henry A.","CA",33,2013,"Charleston, SC","Original","2013-05-05","2013-05-06","American Gas Association",5,5,"USA","Charleston"
"2293",2293,500009384,"Sadaf Khan","Sires, Albio","NJ",8,2013,"Yaounde, Cameroon","Original","2013-04-26","2013-05-03","UN Foundation",5,4,"CMR","Yaounde"
"2294",2294,500009385,"Chaka Fattah","Fattah, Chaka","PA",2,2013,"Chicago, IL","Original","2013-04-26","2013-04-27","Vanderbilt University",4,4,"USA","Chicago"
"2295",2295,500009387,"Carson Middleton","Pitts, Joseph R.","PA",16,2013,"Yaounde, Cameroon","Original","2013-04-26","2013-05-03","UN Foundation",5,4,"CMR","Yaounde"
"2296",2296,500009393,"Jen Daulby","Davis, Rodney","IL",13,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-10","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2297",2297,500009394,"Richard T. Dykema","Rohrabacher, Dana","CA",48,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2298",2298,500009395,"Brandon Renz","Foxx, Virginia","NC",5,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2299",2299,500009396,"Jonathan Hayes","Southerland, Steve","FL",2,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2300",2300,500009397,"Alan Tennille","McKeon, Howard P. ""Buck""","CA",25,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-12","The Congressional Institute",5,5,"USA","Hot Springs"
"2301",2301,500009398,"Paul Sass","Graves, Sam","MO",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2302",2302,500009399,"Cesar Gonzalez","Diaz-Balart, Mario","FL",25,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2303",2303,500009400,"Bradley Jones","Pittenger, Robert","NC",9,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2304",2304,500009401,"David Peluso","Bilirakis, Gus","FL",12,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2305",2305,500009402,"Austin Weatherford","Kinzinger, Adam","IL",16,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2306",2306,500009403,"James Slepian","Renacci, James","OH",16,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2307",2307,500009404,"Gabe Neville","Pitts, Joseph R.","PA",16,2013,"Hot Spring, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Spring"
"2308",2308,500009405,"Craig Roberts","Shimkus, John","IL",15,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2309",2309,500009406,"Matt McCullough","Southerland, Steve","FL",2,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2310",2310,500009407,"Michael R. Higdon","Rogers, Harold","KY",5,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2311",2311,500009408,"Brendon DelToro","Walorski, Jackie","IN",2,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2312",2312,500009409,"Eliot L. Engel","Engel, Eliot","NY",16,2013,"Jerusalem, Israel","Original","2013-04-29","2013-05-05","American Israel Education Foundation",5,4,"ISR","Jerusalem"
"2313",2313,500009410,"Frank Walker","Webster, Daniel","FL",11,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-12","Congressional Institute",5,5,"USA","Hot Springs"
"2314",2314,500009411,"Stephen Ruhlen","Olson, Pete","TX",22,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc",5,5,"USA","Hot Springs"
"2315",2315,500009412,"Kelly Lungren McCollum","Griffith, H.","VA",9,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2316",2316,500009413,"Michael Hamilton","McKinley, David","WV",1,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2317",2317,500009414,"Jamie Gahun","Culberson, John","TX",7,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2318",2318,500009415,"Steven Moore","Roskam, Peter","IL",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2319",2319,500009416,"Joby Young","Scott, Austin","GA",8,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2320",2320,500009417,"Edward Burrier","Royce, Edward","CA",39,2013,"Tel Aviv, Israel","Original","2013-04-29","2013-05-05","American Israel Education Foundation (AIEF)",5,4,"ISR","Tel Aviv"
"2321",2321,500009418,"Maisha C. Leek","Fattah, Chaka","PA",2,2013,"Chicago, IL","Original","2013-04-26","2013-04-27","Vanderbilt University and the MacArthur Foundation",4,4,"USA","Chicago"
"2322",2322,500009419,"Theodore E. Deutch","Deutch, Theodore","FL",22,2013,"Tel Aviv, Israel","Original","2013-04-29","2013-05-05","American Israel Education Foundation (AIEF)",5,4,"ISR","Tel Aviv"
"2323",2323,500009420,"Bradley James Sherman","Sherman, Brad","CA",30,2013,"Tel Aviv, Israel","Original","2013-04-29","2013-05-05","American Israel Education Foundation",5,4,"ISR","Tel Aviv"
"2324",2324,500009421,"Nita M. Lowey","Lowey, Nita","NY",17,2013,"Jerusalem, Israel","Original","2013-04-29","2013-05-05","American Israel Education Foundation (AIEF)",5,4,"ISR","Jerusalem"
"2325",2325,500009421,"Nita M. Lowey","Lowey, Nita","NY",17,2013,"Tel Aviv, Israel","Original","2013-04-29","2013-05-05","American Israel Education Foundation (AIEF)",5,4,"ISR","Tel Aviv"
"2326",2326,500009422,"Andrew Duke","Hensarling, Jeb","TX",5,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2327",2327,500009423,"Marshall Macomber","Rogers, Mike","AL",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2328",2328,500009424,"Joseph Kaufman","Bridenstine, Jim","OK",1,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2329",2329,500009425,"Gregory Facchiano","Heck, Joseph J.","NV",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2330",2330,500009426,"Ryan Thompson","Barton, Joe","TX",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-10","The Congressional Institute",5,5,"USA","Hot Springs"
"2331",2331,500009427,"Richard Vaughn","DesJarlais, Scott","TN",4,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2332",2332,500009428,"Seth Appleton","Luetkemeyer, Blaine","MO",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2333",2333,500009429,"Todd Young","Hastings, Doc","WA",4,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2334",2334,500009430,"Anne Fultz Dutton","Gerlach, Jim","PA",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2335",2335,500009431,"Al Lytton","Ellmers, Renee L.","NC",2,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2336",2336,500009432,"Cara Toman","Schneider, Bradley","IL",10,2013,"Jerusalem, Israel","Original","2013-04-28","2013-05-03","Jewish United Fund of Metropolitan Chicago",5,4,"ISR","Jerusalem"
"2337",2337,500009433,"Adam Howard","Turner, Michael","OH",10,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2338",2338,500009434,"Edward Royce","Royce, Edward","CA",39,2013,"Jerusalem, Israel","Original","2013-04-29","2013-05-05","American Israel Education Foundation (AIEF)",5,4,"ISR","Jerusalem"
"2339",2339,500009434,"Edward Royce","Royce, Edward","CA",39,2013,"Tel Aviv, Israel","Original","2013-04-29","2013-05-05","American Israel Education Foundation (AIEF)",5,4,"ISR","Tel Aviv"
"2340",2340,500009435,"Mike Smullen","Johnson, Bill","OH",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2341",2341,500009436,"Beau Walker","Womack, Steve","AR",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-12","The Congressional Institute",5,5,"USA","Hot Springs"
"2342",2342,500009437,"Kevin C. Reigrut","Harris, Andy","MD",1,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2343",2343,500009438,"Kelly Simpson","Hurt, Robert","VA",5,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2344",2344,500009439,"George S. McElwee","Dent, Charles","PA",15,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2345",2345,500009440,"Edward F. McDonald","Coble, Howard","NC",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2346",2346,500009441,"Michael Platt","Blackburn, Marsha","TN",7,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2347",2347,500009442,"Michael Cravens","Harper, Gregg","MS",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2348",2348,500009443,"Jennifer N. Gorski","Hastings, Doc","WA",4,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2349",2349,500009444,"Elisabeth (Betsy) Wright Hawkings","Barr, Andy","KY",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2350",2350,500009445,"James D. Carstensen","Latham, Tom","IA",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2351",2351,500009446,"Allen H. Simpson","Mulvaney, Mick","SC",5,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2352",2352,500009447,"Todd D. Willens","Pearce, Stevan","NM",2,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-12","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2353",2353,500009448,"Parker Hamilton Poling","McHenry, Patrick","NC",10,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2354",2354,500009461,"Amy Porter","Royce, Edward","CA",39,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2355",2355,500009462,"Tyler Grassmeyer","Rice, Tom","SC",7,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-12","The Congressional Institute",5,5,"USA","Hot Springs"
"2356",2356,500009463,"David Bowser","Broun, Paul C.","GA",10,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-12","The Congressional Institute",5,5,"USA","Hot Springs"
"2357",2357,500009464,"Derek Harley","Wenstrup, Brad","OH",2,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2358",2358,500009465,"Kelli Briggs","Tiberi, Patrick","OH",12,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2359",2359,500009466,"Joseph Knott","Holding, George","NC",2,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2361",2361,500009468,"Tim Berry","McCarthy, Kevin","CA",23,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-10","The Congressional Institute",5,5,"USA","Hot Springs"
"2362",2362,500009469,"William Williams","Duncan, Jeff","SC",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2363",2363,500009470,"Johnathan Causey","Bucshon, Larry","IN",8,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2364",2364,500009472,"Mary McDermott Noonan","Smith, Christopher","NJ",4,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2365",2365,500009473,"Patrick Leopold","Jenkins, Lynn","KS",2,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2366",2366,500009474,"Laurie Esau","Paulsen, Erik","MN",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2367",2367,500009475,"Thomas Van Flein","Gosar, Paul","AZ",4,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2368",2368,500009476,"Jonah Shumate","Crawford, Eric","AR",1,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","Congressional Institute",5,5,"USA","Hot Springs"
"2369",2369,500009477,"Cory Hicks","Whitfield, Ed","KY",1,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2370",2370,500009479,"David Heil","Johnson, Sam","TX",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2371",2371,500009480,"Michele Raines","Brooks, Susan","IN",5,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2372",2372,500009481,"Douglas Menorca","Messer, Luke","IN",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2373",2373,500009482,"Jim Hayes","Benishek, Dan","MI",1,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2374",2374,500009489,"Pepper Natonski","Hudson, Richard","NC",8,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2375",2375,500009490,"Kelly Craven","Miller, Candice S.","MI",10,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2376",2376,500009491,"Janet Poppleton","Hall, Ralph M.","TX",4,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-12","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2377",2377,500009494,"James Quinn","Cassidy, Bill","LA",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2378",2378,500009495,"Nancy Fox","Frelinghuysen, Rodney","NJ",11,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2379",2379,500009496,"Dana Gartzke","Fleming, John","LA",4,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2380",2380,500009497,"Mark Spannagel","LaMalfa, Doug","CA",1,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-10","The Congressional Institute",5,5,"USA","Hot Springs"
"2381",2381,500009498,"Jason Bohrer","Labrador, Raul","ID",1,2013,"Hot Springs, VA","Original","2013-05-10","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2382",2382,500009500,"Steven Stallmer","Gibson, Christopher P.","NY",19,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2383",2383,500009501,"Joseph Lillis","Long, Billy","MO",7,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2384",2384,500009502,"Christian Morgan","Wagner, Ann","MO",2,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2385",2385,500009508,"Andrew Keiser","Rogers, Mike","AL",3,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2386",2386,500009509,"Chara McMichael","Weber, Randy","TX",14,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2387",2387,500009510,"Jason Thielman","Daines, Steve","MT",0,2013,"Hot Spring, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Spring"
"2388",2388,500009511,"Jacqueline Ponder","Coffman, Mike","CO",6,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2389",2389,500009512,"Veronica Wong","Issa, Darrell","CA",49,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute, Inc.",5,5,"USA","Hot Springs"
"2390",2390,500009513,"Adam Kuhn","Stivers, Steve","OH",15,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2391",2391,500009514,"Thomas Price","Price, Tom","GA",6,2013,"New York, NY","Original","2013-05-18","2013-05-19","ABC News",5,5,"USA","New York"
"2392",2392,500009517,"Eric Bohl","Hartzler, Vicky","MO",4,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
"2393",2393,500009518,"Hugh Halpern","Sessions, Pete","TX",32,2013,"Hot Springs, VA","Original","2013-05-09","2013-05-11","The Congressional Institute",5,5,"USA","Hot Springs"
